nombre;marca;unidad; tipo
Amarillo;;KILOGRAMO;LUPULO
Apollo;;KILOGRAMO;LUPULO
Bravo;;KILOGRAMO;LUPULO
Bullion Arg;;KILOGRAMO;LUPULO
Calypso;;KILOGRAMO;LUPULO
Cascade;;KILOGRAMO;LUPULO
Cascade Arg;;KILOGRAMO;LUPULO
Catarata Arg;;KILOGRAMO;LUPULO
Centennial;;KILOGRAMO;LUPULO
Chinook;;KILOGRAMO;LUPULO
Citra;;KILOGRAMO;LUPULO
Colombus;;KILOGRAMO;LUPULO
East Kent Golding;;KILOGRAMO;LUPULO
Ekuanot;;KILOGRAMO;LUPULO
Falconers;;KILOGRAMO;LUPULO
Fuggle;;KILOGRAMO;LUPULO
Hallertauer Blanc;;KILOGRAMO;LUPULO
Hallertauer Magnum;;KILOGRAMO;LUPULO
Hallertauer Tradition;;KILOGRAMO;LUPULO
Huell Melon;;KILOGRAMO;LUPULO
Lemondrop;;KILOGRAMO;LUPULO
Magnum Arg;;KILOGRAMO;LUPULO
Mandarina Bavaria;;KILOGRAMO;LUPULO
Mapuche Arg;;KILOGRAMO;LUPULO
Mosaic;;KILOGRAMO;LUPULO
Northern Brewer;;KILOGRAMO;LUPULO
Nugget;;KILOGRAMO;LUPULO
Nugget Arg;;KILOGRAMO;LUPULO
Perle;;KILOGRAMO;LUPULO
Saaz;;KILOGRAMO;LUPULO
Simcoe;;KILOGRAMO;LUPULO
Sorachi Ace;;KILOGRAMO;LUPULO
Spalter Arg;;KILOGRAMO;LUPULO
Styrian Golding;;KILOGRAMO;LUPULO
Tehuelche Arg;;KILOGRAMO;LUPULO
Tettnanger;;KILOGRAMO;LUPULO
Traful Arg;;KILOGRAMO;LUPULO
Victoria Arg;;KILOGRAMO;LUPULO
Willamette Arg;;KILOGRAMO;LUPULO
Zeus;;KILOGRAMO;LUPULO
